Country,Rate
Swaziland,27.20
Lesotho,25.00
Botswana,21.90
South Africa,18.90
Namibia,13.80
Zimbabwe,13.50
Zambia,12.40
Mozambique,12.30
Malawi,9.20
Uganda,6.50
Equatorial Guinea,6.20
Kenya,5.40
Tanzania,4.70
Central African Republic,4.00
Cameroon,3.80
Gabon,3.60
The Bahamas,3.30
Rwanda,3.10
Congo-Brazzaville,3.10
Guinea-Bissau,3.10
Nigeria,2.90
Cote d`Ivoire,2.70
South Sudan,2.70
Haiti,2.10
Togo,2.10
Angola,1.90
Belize,1.80
Sierra Leone,1.70
The Gambia,1.70
Jamaica,1.70
Liberia,1.60
Guyana,1.60
Ghana,1.60
Guinea,1.50
Suriname,1.40
Barbados,1.30
Djibouti,1.30
Chad,1.30
Trinidad and Tobago,1.20
Thailand,1.10
Ethiopia,1.10
Burundi,1.10
Benin,1.00
Mali,1.00
Dominican Republic,1.00
Ukraine,0.90
Papua New Guinea,0.90
Cabo Verde,0.80
Panama,0.80
Burma,0.80
Burkina Faso,0.80
Latvia,0.70
Democratic Republic of Congo,0.70
Cambodia,0.60
Venezuela,0.60
Moldova,0.60
Eritrea,0.60
El Salvador,0.60
Uruguay,0.60
Brazil,0.60
Georgia,0.50
Mauritania,0.50
Chile,0.50
Guatemala,0.50
Paraguay,0.50
Niger,0.40
Malaysia,0.40
Indonesia,0.40
Honduras,0.40
France,0.40
Cuba,0.40
Costa Rica,0.40
Colombia,0.40
Vietnam,0.40
Argentina,0.40
Belarus,0.40
Spain,0.40
Somalia,0.40
Senegal,0.40
India,0.30
Ecuador,0.30
Bolivia,0.30
Tajikistan,0.30
Peru,0.30
Italy,0.30
Laos,0.30
Mexico,0.30
Armenia,0.20
Ireland,0.20
Kazakhstan,0.20
Kyrgyzstan,0.20
Lithuania,0.20
Madagascar,0.20
Nepal,0.20
Netherlands,0.20
Nicaragua,0.20
Sudan,0.20
Sweden,0.20
Albania,0.10
Australia,0.10
Azerbaijan,0.10
Fiji,0.10
Iran,0.10
Romania,0.10
Montenegro,0.10
Morocco,0.10
Pakistan,0.10
Philippines,0.10
Malta,0.10
